variable,label,level,reference_level,n,pcs_n,pcs_rate,odds_ratio,ci_low,ci_high,p_value,p_fdr
symptom_duration,Symptom duration,very_short,very_short,127,47,37.00787401574803,4.055107704506409,2.3116598162522575,7.113459506254971,4.969183593431009e-07,2.683359140452745e-05
pain_frequency,Pain frequency,daily,daily,140,48,34.285714285714285,3.483843843843844,1.983682477428754,6.118503372586538,9.624823348984343e-06,0.0002598702304225773
symptom_duration,Symptom duration,long,very_short,28,1,3.571428571428571,0.16834532374100716,0.03183291300997126,0.8902781852413983,0.008376905104617624,0.15078429188311723
pain_frequency,Pain frequency,monthly,daily,62,7,11.29032258064516,0.39689295594807406,0.17586361195990347,0.8957169520498363,0.017431095623222755,0.18464215617883617
stone_location,Stone location,distal_common_bile_duct,gallbladder_body,11,6,54.54545454545454,4.333333333333333,1.3470004655634296,13.94043896630973,0.01885922204440227,0.18464215617883617
symptom_duration,Symptom duration,none,very_short,54,6,11.11111111111111,0.4020618556701031,0.16915076284510375,0.9556784318668301,0.030773692696472697,0.18464215617883617
abdominal_pain,Abdominal pain,0,1,54,6,11.11111111111111,0.4020618556701031,0.16915076284510375,0.9556784318668301,0.030773692696472697,0.18464215617883617
abdominal_pain,Abdominal pain,1,1,257,64,24.90272373540856,2.4871794871794872,1.046377072721618,5.911885841837609,0.030773692696472697,0.18464215617883617
pain_frequency,Pain frequency,none,daily,54,6,11.11111111111111,0.4020618556701031,0.16915076284510375,0.9556784318668301,0.030773692696472697,0.18464215617883617
stone_location,Stone location,gallbladder_body,gallbladder_body,238,47,19.747899159663866,0.5330259430031665,0.2973956665923232,0.9553490108646694,0.03874701410068273,0.20923387614368677
smoking,Smoking,1,0,37,13,35.13513513513514,2.0842945874001773,1.0093282581797016,4.3041338552241495,0.05962002215069677,0.2682900996781355
smoking,Smoking,0,0,274,57,20.802919708029197,0.47977862920391656,0.23233478177874237,0.9907579540113888,0.05962002215069677,0.2682900996781355
occupation,Occupation,unemployed,unemployed,152,41,26.973684210526315,1.6464999619974159,0.9638912720037848,2.812518593743265,0.07751051193434835,0.32196674188113933
symptom_duration,Symptom duration,short,very_short,63,9,14.285714285714285,0.5314388006265384,0.2518199039368213,1.121544383093051,0.09193709858205483,0.3546145231022115
education_level,Education level,junior_high_or_below,junior_high_or_below,243,60,24.691358024691358,1.8369015181004282,0.8956292532924482,3.7674151160155147,0.10017892150587289,0.36064411742114244
hyperlipidemia,Hyperlipidemia,0,0,271,65,23.985239852398525,2.047325555800132,0.7995974948318907,5.242064862038567,0.1537598377276591,0.4884136021937407
hyperlipidemia,Hyperlipidemia,1,0,40,5,12.5,0.48844210299967744,0.1907645224387997,1.2506292309110376,0.1537598377276591,0.4884136021937407
sex,Sex,female,female,165,32,19.393939393939394,0.6860742254000681,0.40334469921030797,1.1669865593371216,0.17547869945061018,0.4987289352806816
sex,Sex,male,female,146,38,26.027397260273972,1.4575682382133994,0.856907898380617,2.4792689775218544,0.17547869945061018,0.4987289352806816
stone_location,Stone location,gallbladder_fundus,gallbladder_body,24,8,33.33333333333333,1.8586666666666667,0.7758478514491205,4.452730997869278,0.20462677003563143,0.5524922790962049
education_level,Education level,college_or_above,junior_high_or_below,35,5,14.285714285714285,0.5822800650732074,0.22534093257672647,1.5046093503949411,0.284033339609039,0.7303714447089573
stone_number,Stone number,single,multiple,23,3,13.043478260869565,0.560252935862692,0.17460373391745512,1.7976898036507956,0.3115981157669897,0.7383181291945374
fatty_liver,Fatty liver,0,0,238,57,23.949579831932773,1.4197530864197532,0.7335585798251095,2.7478362080898644,0.3369066676959267,0.7383181291945374
fatty_liver,Fatty liver,1,0,73,13,17.80821917808219,0.7043478260869566,0.363922710187716,1.363217645465225,0.3369066676959267,0.7383181291945374
occupation,Occupation,mental_labor,unemployed,77,14,18.181818181818183,0.7214131419413281,0.3788141869891332,1.3738580529471784,0.346739274000576,0.7383181291945374
occupation,Occupation,manual_labor,unemployed,82,15,18.29268292682927,0.7219886553219886,0.384803005360481,1.3546349980435655,0.3554865066492217,0.7383181291945374
education_level,Education level,high_school,junior_high_or_below,33,5,15.151515151515152,0.6290344181063345,0.24232848718071037,1.632842691199171,0.3792521521266895,0.758504304253379
alcohol_use,Alcohol use,0,0,286,63,22.02797202797203,0.700820283370619,0.2869170168551413,1.7118157541406689,0.4628388211440936,0.7746866628546684
alcohol_use,Alcohol use,1,0,25,7,28.000000000000004,1.426899340285167,0.5841750185912968,3.48532830489061,0.4628388211440936,0.7746866628546684
pain_frequency,Pain frequency,occasional,daily,11,1,9.090909090909092,0.47584789311408016,0.08421669296504815,2.688673817613371,0.46634829979959613,0.7746866628546684
radiating_pain,Radiating pain,0,0,204,43,21.07843137254902,0.788460455952716,0.45614090907377475,1.3628900154198138,0.47500675456630514,0.7746866628546684
radiating_pain,Radiating pain,1,0,107,27,25.233644859813083,1.268294424216463,0.7337349226173382,2.192305009499297,0.47500675456630514,0.7746866628546684
stone_location,Stone location,cystic_duct,gallbladder_body,3,1,33.33333333333333,2.0676258992805754,0.26836234942919207,15.930240842163274,0.5359704659408694,0.7746866628546684
symptom_duration,Symptom duration,medium,very_short,39,7,17.94871794871795,0.7613567534827377,0.327973105326224,1.7674135368423016,0.5436652418992671,0.7746866628546684
pain_frequency,Pain frequency,weekly,daily,44,8,18.181818181818183,0.7656986301369862,0.34461892916653847,1.7012831930376293,0.5609093140870857,0.7746866628546684
gallbladder_atrophy,Gallbladder atrophy,1,0,4,0,0.0,0.3743104806934594,0.019910000656339136,7.037083442403583,0.578154969037154,0.7746866628546684
gallbladder_atrophy,Gallbladder atrophy,0,0,307,70,22.80130293159609,2.671578947368421,0.1421043260584729,50.226015421130086,0.578154969037154,0.7746866628546684
stone_location,Stone location,none,gallbladder_body,26,7,26.923076923076923,1.3476680799515446,0.555023874241942,3.2723083420526407,0.6239301412971303,0.7746866628546684
stone_number,Stone number,no_stone,multiple,26,7,26.923076923076923,1.3476680799515446,0.555023874241942,3.2723083420526407,0.6239301412971303,0.7746866628546684
prior_abdominal_surgery,Prior abdominal surgery,0,0,235,55,23.404255319148938,1.2199982128496112,0.6477520984346622,2.297785901354942,0.6356242327690216,0.7746866628546684
prior_abdominal_surgery,Prior abdominal surgery,1,0,76,15,19.736842105263158,0.8196733318684538,0.43520155616340367,1.5438004792521232,0.6356242327690216,0.7746866628546684
meal_related_pain,Meal-related pain,1,0,32,8,25.0,1.2073469387755102,0.5267861396986707,2.767131708143296,0.6623704528317127,0.7746866628546684
meal_related_pain,Meal-related pain,0,0,279,62,22.22222222222222,0.828262339418526,0.36138503890405166,1.898303551744954,0.6623704528317127,0.7746866628546684
hypertension,Hypertension,1,0,100,24,24.0,1.1398552252442196,0.6515354626444455,1.9941661030131603,0.6652410776834166,0.7746866628546684
hypertension,Hypertension,0,0,211,46,21.80094786729858,0.8773043960786732,0.5014627409868277,1.5348358720816362,0.6652410776834166,0.7746866628546684
diabetes,Diabetes,1,0,38,7,18.421052631578945,0.7892763404574428,0.33926201938565714,1.8362124435088758,0.6788329156089954,0.7746866628546684
diabetes,Diabetes,0,0,273,63,23.076923076923077,1.2669833729216151,0.5445992937990707,2.9475742725661456,0.6788329156089954,0.7746866628546684
stone_location,Stone location,gallbladder_neck,gallbladder_body,8,1,12.5,0.6748201438848921,0.11455432958601333,3.9752511165534066,0.6886103669819275,0.7746866628546684
stone_number,Stone number,multiple,multiple,262,60,22.900763358778626,1.1239271017048795,0.5369704272639874,2.3524798868033483,0.8524487384203188,0.9394333035652492
gallbladder_wall_thickening,Gallbladder wall thickening,0,0,250,56,22.400000000000002,0.9516000354578494,0.4925981628842706,1.8382988320159963,1.0,1.0
anxiety_depression,Anxiety/depression,0,0,302,68,22.516556291390728,0.8763326226012793,0.20423504209861817,3.760171895792569,1.0,1.0
anxiety_depression,Anxiety/depression,1,0,9,2,22.22222222222222,1.1411192214111923,0.2659452885967651,4.89631940593786,1.0,1.0
stone_location,Stone location,left_intrahepatic_bile_duct,gallbladder_body,1,0,0.0,1.1371158392434988,0.04581423742078403,28.223375628464584,1.0,1.0
gallbladder_wall_thickening,Gallbladder wall thickening,1,0,61,14,22.950819672131146,1.0508616674429436,0.5439811974984153,2.0300522319141017,1.0,1.0
